year,region,variable,estimate,moe
2014,Portland (Multnomah Co),bicycle,0.05932934040361652,0.00754587418456491
2014,Portland (Multnomah Co),carpool,0.09774793677437404,0.00974580042981218
2014,Portland (Multnomah Co),drove_alone,0.5955518254301301,0.01576317094571396
2014,Portland (Multnomah Co),other,0.007726446165388675,0.0026628009003166367
2014,Portland (Multnomah Co),public_transit,0.11107465761263495,0.00838006587062399
2014,Portland (Multnomah Co),taxi_or_ride_share,0.004903419422932641,0.0018616716896196544
2014,Portland (Multnomah Co),total,1,0.01686949223667646
2014,Portland (Multnomah Co),walked,0.049898905123412045,0.006917687152685054
2014,Portland (Multnomah Co),work_from_home,0.07376746906751103,0.006910057350678417
2015,Portland (Multnomah Co),bicycle,0.057511774226917035,0.006031324919983936
2015,Portland (Multnomah Co),carpool,0.08733007995521534,0.009626267174550632
2015,Portland (Multnomah Co),drove_alone,0.5989582699492522,0.017410035170558957
2015,Portland (Multnomah Co),other,0.006924584099013034,0.002735758357571406
2015,Portland (Multnomah Co),public_transit,0.12375412250063891,0.010010831071789317
2015,Portland (Multnomah Co),taxi_or_ride_share,0.004519842766912901,0.0014798408197539278
2015,Portland (Multnomah Co),total,1,0.014121770454296528
2015,Portland (Multnomah Co),walked,0.05407260469021918,0.007528203380754768
2015,Portland (Multnomah Co),work_from_home,0.06622531063270497,0.006467001740273332
2016,Portland (Multnomah Co),bicycle,0.05217897717932942,0.0057627007199853465
2016,Portland (Multnomah Co),carpool,0.08661193588232255,0.007897295240957914
2016,Portland (Multnomah Co),drove_alone,0.6117996815720385,0.014484245330427718
2016,Portland (Multnomah Co),other,0.0062887174116221505,0.0022614021162778684
2016,Portland (Multnomah Co),public_transit,0.11558277483197994,0.00862526476956242
2016,Portland (Multnomah Co),taxi_or_ride_share,0.0018011375110956647,9.792364304131579e-4
2016,Portland (Multnomah Co),total,1,0.016275989686315582
2016,Portland (Multnomah Co),walked,0.05114807839527336,0.005328267291624593
2016,Portland (Multnomah Co),work_from_home,0.0740227596150685,0.006800644370447255
2017,Portland (Multnomah Co),bicycle,0.05391649493110555,0.00510585995619588
2017,Portland (Multnomah Co),carpool,0.09442606437542164,0.010093892374941087
2017,Portland (Multnomah Co),drove_alone,0.5940009611030506,0.017436165198828193
2017,Portland (Multnomah Co),other,0.007702686467853876,0.002564481697455849
2017,Portland (Multnomah Co),public_transit,0.11591457272500438,0.009694202885157427
2017,Portland (Multnomah Co),taxi_or_ride_share,0.004144756905617832,0.0013353787577743072
2017,Portland (Multnomah Co),total,1,0.01594137271391474
2017,Portland (Multnomah Co),walked,0.05014370338881239,0.005822066556386253
2017,Portland (Multnomah Co),work_from_home,0.07835300206082674,0.006713859290816845
2018,Portland (Multnomah Co),bicycle,0.04494739697406502,0.005718743624979544
2018,Portland (Multnomah Co),carpool,0.08348334480369982,0.009471458963362827
2018,Portland (Multnomah Co),drove_alone,0.6108003775132993,0.015367302057716492
2018,Portland (Multnomah Co),other,0.005716501859544428,0.0016499393602449801
2018,Portland (Multnomah Co),public_transit,0.11004153991351269,0.007971717887270583
2018,Portland (Multnomah Co),taxi_or_ride_share,0.0017351264467793677,9.617173716645333e-4
2018,Portland (Multnomah Co),total,1,0.012961887745837602
2018,Portland (Multnomah Co),walked,0.05067510766078502,0.006732021601651733
2018,Portland (Multnomah Co),work_from_home,0.08872235062556465,0.007852904319209464
2019,Portland (Multnomah Co),bicycle,0.04316716730230517,0.005373114178676297
2019,Portland (Multnomah Co),carpool,0.08759211133236582,0.009990212292011205
2019,Portland (Multnomah Co),drove_alone,0.5938731198037959,0.01652885123808881
2019,Portland (Multnomah Co),other,0.009348948665159135,0.0029858134485357814
2019,Portland (Multnomah Co),public_transit,0.12043380921844589,0.010503223193492861
2019,Portland (Multnomah Co),taxi_or_ride_share,0.0024435519254784165,0.0014827815091070684
2019,Portland (Multnomah Co),total,1,0.014260803042064644
2019,Portland (Multnomah Co),walked,0.05580343582301124,0.005823123741379504
2019,Portland (Multnomah Co),work_from_home,0.08566607040399608,0.00738690697177315
2021,Portland (Multnomah Co),bicycle,0.02406634327762464,0.00376843716688659
2021,Portland (Multnomah Co),carpool,0.06998727418726197,0.00947157353970125
2021,Portland (Multnomah Co),drove_alone,0.4981216512563805,0.018694265870872917
2021,Portland (Multnomah Co),other,0.008879893685461111,0.002967791014918785
2021,Portland (Multnomah Co),public_transit,0.04016613994637314,0.006177419430578578
2021,Portland (Multnomah Co),taxi_or_ride_share,0.0018994801669852033,9.274346921621202e-4
