date,region,confirmed,deaths
2020-04-13,Seattle (King Co),4551,298
2020-04-13,Vancouver (BC),1490,69
2020-04-14,Portland (Multnomah Co),420,20
2020-04-14,Seattle (King Co),4622,305
2020-04-14,Vancouver (BC),1517,72
2020-04-15,Portland (Multnomah Co),430,22
2020-04-15,Seattle (King Co),4699,314
2020-04-15,Vancouver (BC),1561,75
2020-04-16,Portland (Multnomah Co),448,26
2020-04-16,Seattle (King Co),4811,322
2020-04-16,Vancouver (BC),1561,75
2020-04-17,Portland (Multnomah Co),467,28
2020-04-17,Seattle (King Co),4904,333
2020-04-17,Vancouver (BC),1575,77
2020-04-18,Portland (Multnomah Co),493,28
2020-04-18,Seattle (King Co),5065,342
2020-04-18,Vancouver (BC),1618,78
2020-04-19,Portland (Multnomah Co),514,28
2020-04-19,Seattle (King Co),5174,348
2020-04-19,Vancouver (BC),1618,78
2020-04-20,Portland (Multnomah Co),520,28
2020-04-20,Seattle (King Co),5295,362
2020-04-20,Vancouver (BC),1699,86
2020-04-21,Portland (Multnomah Co),542,29
2020-04-21,Seattle (King Co),5381,374
2020-04-21,Vancouver (BC),1724,87
2020-04-22,Portland (Multnomah Co),566,29
2020-04-22,Seattle (King Co),5451,381
2020-04-22,Vancouver (BC),1795,90
2020-04-23,Portland (Multnomah Co),582,33
2020-04-23,Seattle (King Co),5571,386
2020-04-23,Vancouver (BC),1824,94
2020-04-24,Portland (Multnomah Co),596,35
2020-04-24,Seattle (King Co),5691,393
2020-04-24,Vancouver (BC),1853,98
2020-04-25,Portland (Multnomah Co),623,35
2020-04-25,Seattle (King Co),5813,401
2020-04-25,Vancouver (BC),1948,100
2020-04-26,Portland (Multnomah Co),652,37
2020-04-26,Seattle (King Co),5914,410
2020-04-26,Vancouver (BC),1948,100
2020-04-27,Portland (Multnomah Co),664,37
2020-04-27,Seattle (King Co),5992,418
2020-04-27,Vancouver (BC),1998,103
2020-04-28,Portland (Multnomah Co),677,40
2020-04-28,Seattle (King Co),6056,429
2020-04-28,Vancouver (BC),2053,105
2020-04-29,Portland (Multnomah Co),696,42
2020-04-29,Seattle (King Co),6184,438
2020-04-29,Vancouver (BC),2087,109
2020-04-30,Portland (Multnomah Co),707,43
2020-04-30,Seattle (King Co),6310,448
2020-04-30,Vancouver (BC),2112,111
2020-05-01,Portland (Multnomah Co),720,44
2020-05-01,Seattle (King Co),6409,451
2020-05-01,Vancouver (BC),2145,112
2020-05-02,Portland (Multnomah Co),734,46
2020-05-02,Seattle (King Co),6507,456
2020-05-02,Vancouver (BC),2171,114
2020-05-03,Portland (Multnomah Co),739,46
2020-05-03,Seattle (King Co),6620,461
2020-05-03,Vancouver (BC),2171,114
2020-05-04,Portland (Multnomah Co),754,46
2020-05-04,Seattle (King Co),6584,465
2020-05-04,Vancouver (BC),2224,117
2020-05-05,Portland (Multnomah Co),769,49
2020-05-05,Seattle (King Co),6655,471
2020-05-05,Vancouver (BC),2232,121
2020-05-06,Portland (Multnomah Co),793,50
2020-05-06,Seattle (King Co),6772,476
2020-05-06,Vancouver (BC),2255,124
2020-05-07,Portland (Multnomah Co),809,52
2020-05-07,Seattle (King Co),6865,482
2020-05-07,Vancouver (BC),2288,126
2020-05-08,Portland (Multnomah Co),839,52
2020-05-08,Seattle (King Co),6942,487
2020-05-08,Vancouver (BC),2315,127
2020-05-09,Portland (Multnomah Co),863,53
2020-05-09,Seattle (King Co),7002,492
2020-05-09,Vancouver (BC),2330,129
2020-05-10,Portland (Multnomah Co),885,53
2020-05-10,Seattle (King Co),7048,502
2020-05-10,Vancouver (BC),2330,129
2020-05-11,Portland (Multnomah Co),899,53
2020-05-11,Seattle (King Co),7117,507
2020-05-11,Vancouver (BC),2353,130
2020-05-12,Portland (Multnomah Co),908,53
2020-05-12,Seattle (King Co),7181,513
2020-05-12,Vancouver (BC),2360,131
2020-05-13,Portland (Multnomah Co),921,53
2020-05-13,Seattle (King Co),7223,516
2020-05-13,Vancouver (BC),2376,132
2020-05-14,Portland (Multnomah Co),940,55
2020-05-14,Seattle (King Co),7309,516
2020-05-14,Vancouver (BC),2392,135
2020-05-15,Portland (Multnomah Co),957,55
2020-05-15,Seattle (King Co),7362,523
