country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,city
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-27,-59,-25,-25,-71,-68,31,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-28,-64,-31,-30,-66,-48,18,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-29,-57,-30,0,-66,-47,15,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-30,-56,-28,-33,-72,-69,28,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-03-31,-53,-23,-6,-70,-70,30,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-01,-52,-20,21,-68,-70,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-02,-55,-22,-5,-72,-70,30,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-03,-56,-21,-18,-72,-69,31,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-04,-60,-24,7,-64,-48,17,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-05,-56,-29,-10,-68,-48,15,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-06,-51,-21,26,-70,-69,27,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-07,-52,-20,35,-70,-70,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-08,-52,-20,49,-69,-70,28,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-09,-52,-18,43,-70,-70,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-10,-54,-17,29,-70,-70,30,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-11,-59,-19,-5,-63,-48,17,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-12,-65,-34,4,-66,-49,14,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-13,-53,-23,12,-69,-68,27,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-14,-52,-21,32,-68,-68,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-15,-50,-18,29,-67,-68,28,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-16,-51,-19,35,-68,-68,28,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-17,-54,-21,16,-68,-67,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-18,-60,-26,-20,-62,-45,17,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-19,-53,-26,20,-63,-44,13,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-20,-50,-23,27,-67,-67,26,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-21,-52,-24,-3,-68,-67,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-22,-55,-25,-36,-71,-67,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-23,-54,-23,-17,-70,-67,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-24,-54,-22,5,-67,-66,29,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-25,-58,-23,6,-60,-45,16,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-26,-52,-26,8,-62,-44,13,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-27,-49,-22,5,-67,-65,26,Seattle
US,United States,Washington,King County,NA,NA,53033,ChIJN3gtg4xckFQRPuBki2urgOI,2020-04-28,-49,-21,12,-67,-66,19,Seattle
