date,max_temp,precip,gas_price,unemp_rate,new_cases
2014-01-01,8.012903225806452,127.1,3.39975,5.4,0
2014-02-01,6.482142857142858,165.3,3.3765,5.4,0
2014-03-01,10.896774193548387,262.2,3.6124,5.3,0
2014-04-01,13.823333333333334,133.60000000000002,3.824,5.3,0
2014-05-01,17.961290322580645,90.09999999999998,3.9037499999999996,5.3,0
2014-06-01,19.53333333333333,49.30000000000001,3.9724,5.2,0
2014-07-01,25.225806451612904,29.9,3.9805,5.1,0
2014-08-01,25.280645161290323,30.799999999999997,3.90975,5,0
2014-09-01,21.926666666666666,56.099999999999994,3.8172,4.8,0
2014-10-01,16.974193548387095,192.80000000000004,3.4625,4.7,0
2014-11-01,9.55,198.70000000000002,3.11275,4.6,0
2014-12-01,8.080645161290322,179.70000000000002,2.8684,4.5,0
2015-01-01,9.180645161290322,158.2,2.4095,4.5,0
2015-02-01,11.082142857142857,125.3,2.37275,4.4,0
2015-03-01,13.180645161290323,145.7,2.8932,4.4,0
2015-04-01,13.613333333333333,71.3,2.79575,4.4,0
2015-05-01,18.21290322580645,27.300000000000004,3.0515,4.3,0
2015-06-01,24.233333333333334,9.3,3.1242,4.3,0
2015-07-01,26.24516129032258,10.3,3.18175,4.3,0
2015-08-01,25.14516129032258,55.7,3.0762,4.4,0
2015-09-01,18.88,38,2.7605,4.5,0
2015-10-01,16.822580645161292,132,2.52625,4.6,0
2015-11-01,8.683333333333334,234,2.4792,4.6,0
2015-12-01,6.554838709677419,279.40000000000003,2.4565,4.6,0
2016-01-01,7.190322580645161,159.40000000000003,2.423,4.6,0
2016-02-01,10.741379310344827,162.2,2.11,4.5,0
2016-03-01,11.809677419354838,194.7,2.23025,4.4,0
2016-04-01,16.956666666666667,41.7,2.31,4.3,0
2016-05-01,18.938709677419354,45.99999999999999,2.5180000000000002,4.3,0
2016-06-01,20.926666666666666,59.80000000000001,2.62325,4.2,0
2016-07-01,22.3,30.699999999999996,2.642,4.1,0
2016-08-01,24.716129032258063,16.2,2.5826000000000002,4.1,0
2016-09-01,19.186666666666667,69.7,2.65625,4,0
2016-10-01,14.548387096774194,246.39999999999998,2.697,4,0
2016-11-01,11.903333333333332,202.20000000000002,2.6395,4,0
2016-12-01,4.496774193548387,141.10000000000002,2.5797499999999998,3.9,0
2017-01-01,5.790322580645161,90.9,2.727,3.9,0
2017-02-01,7.5321428571428575,230.29999999999998,2.72825,3.9,0
2017-03-01,10.07741935483871,220.40000000000006,2.81375,3.9,0
2017-04-01,12.926666666666668,123.39999999999998,2.8762499999999998,4,0
2017-05-01,17.548387096774192,89.3,2.8736,4,0
2017-06-01,20.066666666666666,64.6,2.8475,4,0
2017-07-01,23.783870967741937,0.5,2.8014,4,0
2017-08-01,25.238709677419354,11.399999999999999,2.8705,4,0
2017-09-01,21.33,51.90000000000001,3.04975,3.9,0
2017-10-01,14.63225806451613,125.49999999999999,2.9472,3.9,0
2017-11-01,10.12,243.3,3.0005,3.8,0
2017-12-01,7.025806451612904,149.8,2.9735,3.8,0
2018-01-01,9.09032258064516,255.29999999999995,2.969,3.7,0
2018-02-01,7.228571428571428,87.9,3.0415,3.7,0
2018-03-01,10.796774193548387,61.7,3.126,3.6,0
2018-04-01,13.366666666666667,182.40000000000003,3.2808,3.5,0
2018-05-01,18.81935483870968,16.6,3.39425,3.4,0
2018-06-01,20.346666666666668,49.99999999999999,3.4035,3.4,0
2018-07-01,25.93225806451613,5.8,3.3588,3.4,0
2018-08-01,24.5,6.2,3.298,3.4,0
2018-09-01,19.6,48.1,3.3064999999999998,3.5,0
2018-10-01,14.841935483870968,107.79999999999998,3.4438,3.5,0
2018-11-01,11.173333333333334,155.09999999999997,3.41725,3.6,0
2018-12-01,8.23225806451613,177.8,3.2157999999999998,3.6,0
2019-01-01,9.09032258064516,104.9,3.068,3.6,0
2019-02-01,5.014285714285714,114.79999999999998,3.00225,3.5,0
2019-03-01,11.870967741935484,40.60000000000001,3.028,3.4,0
2019-04-01,13.58,92.39999999999999,3.393,3.2,0
2019-05-01,19.164516129032258,35.9,3.557,3,0
2019-06-01,21.44,32.699999999999996,3.472,2.9,0
2019-07-01,23.451612903225808,47.3,3.3656,2.8,0
2019-08-01,24.33225806451613,47.10000000000001,3.28525,2.8,0
2019-09-01,19.476666666666667,117.90000000000002,3.2514,2.8,0
2019-10-01,13.058064516129033,119.19999999999997,3.37275,2.7,0
2019-11-01,10.356666666666667,67.8,3.40075,2.7,0
2019-12-01,8.03225806451613,196.1,3.2478,2.6,0
2020-01-01,8.470967741935484,291.9,3.141,2.7,0
2020-02-01,8.589655172413794,111.9,3.1195,2.8,4
2020-03-01,9.441935483870967,70.9,2.997,6.7,2328
2020-04-01,14.316666666666666,36.7,2.6185,18.2,3978
2020-05-01,17.89677419354839,82.4,2.573,14.4,1851
2020-06-01,19.573333333333334,61.00000000000001,2.6804,12.5,2037
2020-07-01,23.483870967741936,15.200000000000001,2.80125,10.9,5018
2020-08-01,23.92258064516129,22.299999999999997,2.8476,9.1,4468
2020-09-01,22.403333333333332,88.10000000000001,2.85175,8.3,2735
2020-10-01,14.687096774193549,82.59999999999998,2.80375,7.4,5357
2020-11-01,10.14,157.80000000000004,2.7958,6.9,16649
2020-12-01,8.970967741935484,168.4,2.789,6.6,18157
2021-01-01,8.306451612903226,249.20000000000005,2.84725,6.4,15430
2021-02-01,7.2785714285714285,136.10000000000005,2.98125,6,6004
2021-03-01,10.387096774193548,85,3.2948,5.7,6678
2021-04-01,15.12,38.2,3.43275,5.5,11191
2021-05-01,17.12258064516129,36.3,3.5694,5.3,7646
2021-06-01,23.383333333333333,62.2,3.67425,5.2,3036
2021-07-01,25.045161290322582,3.4000000000000004,3.829,4.9,4272
2021-08-01,24.35483870967742,19.200000000000003,3.9138,4.7,18794
2021-09-01,20.203333333333333,87.3,3.924,4.4,16015
2021-10-01,13.796774193548387,164.8,3.91825,4.1,12573
2021-11-01,11.12,266.70000000000005,3.9352,3.9,8909
2021-12-01,5.783870967741936,161.89999999999998,3.89925,3.7,27745
2022-01-01,8.012903225806452,209.2,3.9974,3.6,145202
2022-02-01,8.164285714285715,106,4.05275,3.6,19796
2022-03-01,10.86774193548387,87.49999999999999,4.71075,3.6,8058
2022-04-01,11.88,90.6,4.679,3.6,21461
2022-05-01,14.738709677419354,119.59999999999997,4.9914,3.6,37224
2022-06-01,19.186666666666667,78.19999999999999,5.486000000000001,3.6,31018
2022-07-01,24.13225806451613,8.399999999999999,5.239,3.7,27335
2022-08-01,25.732258064516127,15,4.8448,3.8,15977
2022-09-01,22.326666666666668,10.5,4.70725,3.9,9991
2022-10-01,17.64516129032258,84.4,5.2278,4,6950
2022-11-01,8.363333333333333,131.3,4.7985,4,6061
2022-12-01,5.964516129032258,190.5,4.14975,3.9,7176
2023-01-01,8.280645161290323,115.4,4.0788,3.9,6015
2023-02-01,7.667857142857143,63.900000000000006,4.273,3.9,5704
2023-03-01,10.07741935483871,86.39999999999999,4.35625,3.9,4418
2023-04-01,11.870000000000001,129.29999999999998,4.47425,3.9,0
2023-05-01,19.638709677419357,20.400000000000002,4.6411999999999995,3.9,0
2023-06-01,21.23,33.1,4.79425,3.9,0
2023-07-01,25.451612903225808,5.000000000000001,4.9772,4,0
2023-08-01,25.60322580645161,29.6,5.1085,4,0
2023-09-01,20.169999999999998,78.6,5.10325,4.1,0
2023-10-01,15.464516129032258,85.60000000000001,4.923,4.2,0
2023-11-01,10.176666666666666,143.29999999999998,4.5337499999999995,4.3,0
2023-12-01,9.651612903225807,216.1,4.305,4.4,0
2024-01-01,7.532258064516129,226.4,4.128,4.4,0
2024-02-01,8.937931034482759,108.5,4.03975,4.4,0
2024-03-01,11.196774193548388,88.7,4.31525,4.3,0
2024-04-01,13.26,41.5,4.680400000000001,4.3,0
2024-05-01,16.661290322580644,56.2,4.6915,4.3,0
2024-06-01,19.759999999999998,57.400000000000006,4.46325,4.2,0
2024-07-01,26.151612903225807,16.5,4.3464,4.1,0
2024-08-01,23.941935483870967,48.10000000000001,4.276,4.1,0
2024-09-01,20.603333333333335,38.9,4.2402,4.1,0
2024-10-01,15.332258064516129,120.50000000000001,4.1594999999999995,4,0
2024-11-01,10.21,153.1,4.11525,4,0
2024-12-01,9.161290322580646,206.29999999999998,4.0438,4.1,0
2025-01-01,6.809677419354839,56.4,4.03475,4,0
2025-02-01,7.564285714285714,131.2,4.17675,4.1,0
2025-03-01,11.832258064516129,143.00000000000003,4.1992,4.2,0
2025-04-01,14.853333333333333,67.3,4.382,4.3,0
2025-05-01,18.09032258064516,48.99999999999999,4.372999999999999,4.4,0
2025-06-01,22.346666666666668,10.3,4.4636000000000005,4.4,0
2025-07-01,25.861290322580647,3.7,4.44125,4.3,0
2025-08-01,25.177419354838708,40.9,4.4365000000000006,4.3,0
2025-09-01,21.876666666666665,36.699999999999996,4.5718,4.4,0
2025-10-01,14.57741935483871,103.79999999999998,4.519,NA,0
2025-11-01,11.629999999999999,161.59999999999997,4.328,4.6,0
2025-12-01,9.703225806451613,232.20000000000002,4.1856,NA,0
2026-01-01,8.703225806451613,140.20000000000002,3.951,NA,0
2026-02-01,12.45,24.1,NA,NA,0
