city,date,total_upt
Portland,2024-02-20T00:00:00Z,5270179
Portland,2024-03-20T00:00:00Z,5513571
Portland,2024-04-20T00:00:00Z,5611757
Portland,2024-05-20T00:00:00Z,5720782
Portland,2024-06-20T00:00:00Z,5596643
Portland,2024-07-20T00:00:00Z,5498145
Portland,2024-08-20T00:00:00Z,5615539
Portland,2024-09-20T00:00:00Z,5357842
Portland,2024-10-20T00:00:00Z,5986474
Portland,2024-11-20T00:00:00Z,5332972
Portland,2024-12-20T00:00:00Z,5139581
Portland,2025-01-20T00:00:00Z,5296315
Portland,2025-02-20T00:00:00Z,4824199
Portland,2025-03-20T00:00:00Z,5511316
Portland,2025-04-20T00:00:00Z,5775414
Portland,2025-05-20T00:00:00Z,5850601
Portland,2025-06-20T00:00:00Z,5622346
Portland,2025-07-20T00:00:00Z,5785105
Portland,2025-08-20T00:00:00Z,5580680
Portland,2025-09-20T00:00:00Z,5602570
Portland,2025-10-20T00:00:00Z,5917991
Portland,2025-11-20T00:00:00Z,5077632
Seattle,2014-01-20T00:00:00Z,13039455
Seattle,2014-02-20T00:00:00Z,12052990
Seattle,2014-03-20T00:00:00Z,13077227
Seattle,2014-04-20T00:00:00Z,13496516
Seattle,2014-05-20T00:00:00Z,13693906
Seattle,2014-06-20T00:00:00Z,13232776
Seattle,2014-07-20T00:00:00Z,13754793
Seattle,2014-08-20T00:00:00Z,13269809
Seattle,2014-09-20T00:00:00Z,13332724
Seattle,2014-10-20T00:00:00Z,14520045
Seattle,2014-11-20T00:00:00Z,12362324
Seattle,2014-12-20T00:00:00Z,12450491
Seattle,2015-01-20T00:00:00Z,13143615
Seattle,2015-02-20T00:00:00Z,12386479
Seattle,2015-03-20T00:00:00Z,13613926
Seattle,2015-04-20T00:00:00Z,13765579
Seattle,2015-05-20T00:00:00Z,13530132
Seattle,2015-06-20T00:00:00Z,13789927
Seattle,2015-07-20T00:00:00Z,13980950
Seattle,2015-08-20T00:00:00Z,13514698
Seattle,2015-09-20T00:00:00Z,13144763
Seattle,2015-10-20T00:00:00Z,14541241
Seattle,2015-11-20T00:00:00Z,12861741
Seattle,2015-12-20T00:00:00Z,12663758
Seattle,2016-01-20T00:00:00Z,13120012
Seattle,2016-02-20T00:00:00Z,13106165
Seattle,2016-03-20T00:00:00Z,14528970
Seattle,2016-04-20T00:00:00Z,14385079
Seattle,2016-05-20T00:00:00Z,14818307
Seattle,2016-06-20T00:00:00Z,14673134
Seattle,2016-07-20T00:00:00Z,14128215
Seattle,2016-08-20T00:00:00Z,15122676
Seattle,2016-09-20T00:00:00Z,14285449
Seattle,2016-10-20T00:00:00Z,14785497
Seattle,2016-11-20T00:00:00Z,14024508
Seattle,2016-12-20T00:00:00Z,13138951
Seattle,2017-01-20T00:00:00Z,14235075
Seattle,2017-02-20T00:00:00Z,13044182
Seattle,2017-03-20T00:00:00Z,15202133
Seattle,2017-04-20T00:00:00Z,14388506
Seattle,2017-05-20T00:00:00Z,15527102
Seattle,2017-06-20T00:00:00Z,15225531
Seattle,2017-07-20T00:00:00Z,14621214
Seattle,2017-08-20T00:00:00Z,15409066
Seattle,2017-09-20T00:00:00Z,14398865
Seattle,2017-10-20T00:00:00Z,15501993
