mean,lo90,hi90,prob_ate_gt_0,Model,Treatment_Date
2.408585163551946,1.3383744907834418,3.433211902667804,0.9985,BSSR,2021-01-01
2.093907811580202,1.4181185452101324,2.732784298841029,1,BLR,2021-02-01
2.472773080333132,1.5687366248092487,3.233616309915938,0.991,GAM,2021-02-01
2.3713005119292268,1.314869842346686,3.368429559886452,0.99775,BSSR,2021-02-01
2.0039301919118677,1.3625591463623172,2.596791545485027,1,BLR,2021-03-01
1.3450032271204162,-3.153218842722395,2.945651192018939,0.888,GAM,2021-03-01
1.9820426048100375,0.7560409802646667,3.0801465186928594,0.99175,BSSR,2021-03-01
2.0094426478368432,1.3764100089888933,2.617381136913232,1,BLR,2021-04-01
1.927616311883851,-0.05675094636395371,2.9327631630570234,0.94875,GAM,2021-04-01
2.200793447621331,1.0742664188482367,3.2593104730580382,0.99725,BSSR,2021-04-01
2.0741148764654818,1.4816693197627049,2.6332374367087126,1,BLR,2021-05-01
2.018090047613462,0.49836832800458103,2.980691639573507,0.96975,GAM,2021-05-01
2.3128192487664427,1.1718843924680156,3.3716813099160836,0.9985,BSSR,2021-05-01
2.129485829550291,1.5292196277616883,2.6917976849282774,1,BLR,2021-06-01
1.7393071708949341,-0.5585223429771593,2.952011177444843,0.9245,GAM,2021-06-01
2.2261581983637546,1.150508645623532,3.197844102878954,0.99825,BSSR,2021-06-01
2.1245790440116052,1.5463807199828772,2.6876508060469004,1,BLR,2021-07-01
0.2225796412582214,-3.8458631555457536,2.62145741625455,0.6475,GAM,2021-07-01
1.9144818835848378,0.7540708864518948,2.9403241521428156,0.9915,BSSR,2021-07-01
2.1320415256714376,1.5317863971729018,2.6754351123208817,1,BLR,2021-08-01
-0.18370489302763102,-4.262055562854838,2.3954578274161533,0.56025,GAM,2021-08-01
1.8366032048759702,0.6133381000188063,2.8747433294697107,0.9855,BSSR,2021-08-01
2.1573822182818208,1.6080888294261542,2.6995367612428933,1,BLR,2021-09-01
0.4833496621748032,-2.59653654734705,2.622063711338772,0.693,GAM,2021-09-01
1.81937065992031,0.6438082144305303,2.905521118378281,0.99025,BSSR,2021-09-01
2.1714865500312954,1.6471273253621166,2.6950277086814283,1,BLR,2021-10-01
0.8825495103170585,-1.6221081818483674,2.6130402068128316,0.79225,GAM,2021-10-01
1.7196217018483932,0.4894834181858102,2.8397103512110307,0.9835,BSSR,2021-10-01
2.087179017918257,1.5300315384851306,2.5962989355854784,1,BLR,2021-11-01
-0.026668748212330874,-3.2149995191649006,2.3516445452920594,0.5515,GAM,2021-11-01
1.1645906892989903,-0.4518788866391257,2.507363713654411,0.89625,BSSR,2021-11-01
1.941705987514298,1.3829834832977195,2.4758459855314787,1,BLR,2021-12-01
-0.1253338339817351,-3.471759796014171,2.3011478780436856,0.53325,GAM,2021-12-01
0.855637166091375,-0.8949095189165366,2.397091969798432,0.815,BSSR,2021-12-01
1.9709669587009786,1.4070575267422567,2.5096287772050703,1,BLR,2022-01-01
1.0868542520792173,-0.9441285310154951,2.783680558448418,0.86025,GAM,2022-01-01
1.3112952343481827,-0.21939372496846657,2.675246884245059,0.9255,BSSR,2022-01-01
