mean,lo90,hi90,prob_ate_gt_0,Model,Treatment_Date
-0.04938924949159325,-2.519527661576358,1.922865023396632,0.52525,BLR,2019-01-01
1.0857232995673893,0.1751505074851501,1.900711850516999,0.97,GAM,2019-01-01
0.45290733213954887,-0.7796104283404779,1.5727242618146506,0.75425,BSSR,2019-01-01
-0.7451722327447419,-3.1511782823711543,1.2991448054743922,0.30675,BLR,2019-02-01
0.8148035586422044,-0.19426939246254968,1.7074479670111515,0.915,GAM,2019-02-01
0.003767961648929722,-1.3599107994556277,1.2483565990708798,0.5235,BSSR,2019-02-01
-0.8471533954161689,-3.3129523857568404,1.2181665814027949,0.28,BLR,2019-03-01
0.7718897269263942,-0.2731067193972794,1.722178530634378,0.90675,GAM,2019-03-01
-0.0461866347220974,-1.3763421009268968,1.1490641551592404,0.4975,BSSR,2019-03-01
-0.7907515406769678,-3.3152104249539076,1.2401678800995941,0.30025,BLR,2019-04-01
0.7999921639826647,-0.3080419232815249,1.7477719305375974,0.902,GAM,2019-04-01
-0.027423388999966065,-1.3042124609813606,1.1358866716942226,0.504,BSSR,2019-04-01
-0.6776100895283991,-3.0690639647407663,1.334333776598014,0.3185,BLR,2019-05-01
0.8656389901687218,-0.19338334063001514,1.7873565340302129,0.923,GAM,2019-05-01
0.029724824648066757,-1.2387928616188222,1.1996204141321702,0.53025,BSSR,2019-05-01
-0.5723478376997174,-2.931057850212847,1.4339981211418036,0.3535,BLR,2019-06-01
0.9099171626769191,-0.10889049636009646,1.8407414285250339,0.93375,GAM,2019-06-01
0.14326861471570018,-1.0796248970445308,1.3384406016457258,0.59275,BSSR,2019-06-01
-0.6025919217257116,-2.878462364324195,1.3537396589409314,0.342,BLR,2019-07-01
1.145683253802911,0.17776738435196854,2.095095319383516,0.96725,GAM,2019-07-01
0.3813416971786827,-0.8614668475885678,1.5388580037791724,0.72025,BSSR,2019-07-01
-0.697401967555126,-3.1762412701258174,1.3167606388712978,0.332,BLR,2019-08-01
1.1818583894283592,0.17556895481421328,2.1178028049125337,0.97175,GAM,2019-08-01
0.3895222873480215,-0.8349586475091901,1.5581971146794835,0.7195,BSSR,2019-08-01
-0.6410305935412279,-2.93269744208273,1.4165630721363915,0.33575,BLR,2019-09-01
1.2304624890740063,0.28641300782365653,2.153898401300308,0.9805,GAM,2019-09-01
0.376477925327988,-0.8722836649167904,1.5174404119266087,0.714,BSSR,2019-09-01
-0.6511558245737679,-2.8993741721832356,1.2620012947620807,0.3265,BLR,2019-10-01
1.5050043509735556,0.5509254618450207,2.4936203328973643,0.99175,GAM,2019-10-01
0.7092804267319086,-0.41912180900871376,1.793072506586504,0.851,BSSR,2019-10-01
-0.5196838886853352,-2.698278266583775,1.3619674474844712,0.35475,BLR,2019-11-01
1.3995440019050764,0.45205242111689725,2.250344513901291,0.9865,GAM,2019-11-01
0.5878060713790358,-0.5878437890674066,1.6949682928987988,0.816,BSSR,2019-11-01
-0.5891378122166412,-2.923043266343968,1.2934817570585377,0.34325,BLR,2019-12-01
1.396535041530709,0.488907089507834,2.2426021105317258,0.98825,GAM,2019-12-01
0.6443731518992363,-0.4804220173780311,1.6985786074993368,0.842,BSSR,2019-12-01
-0.4544392433099773,-2.665673703034278,1.4959946152841528,0.38175,BLR,2020-01-01
1.4485260117593215,0.5595134218904136,2.3299228369717313,0.991,GAM,2020-01-01
0.7428137246737754,-0.45116571421898266,1.8567520409304805,0.85975,BSSR,2020-01-01
-0.6339906877112824,-2.8267319797470645,1.2574820058675589,0.329,BLR,2020-02-01
1.3983388164060988,0.44675244862935215,2.2573139925751433,0.98675,GAM,2020-02-01
0.71278617934704,-0.4210666955938033,1.8071503644140796,0.862,BSSR,2020-02-01
-0.751857009824664,-2.99934452373257,1.1870311341595625,0.28825,BLR,2020-03-01
1.3693726990472408,0.4300713065290022,2.1974863778371274,0.9855,GAM,2020-03-01
0.7451609269171755,-0.3980362004333211,1.7854295380941514,0.868,BSSR,2020-03-01
1.1876047810468044,-0.8380051258509017,2.9009458156850143,0.8495,BLR,2020-04-01
1.8594085259201003,0.7501013408665728,2.858587038423131,0.99175,GAM,2020-04-01
1.517743866027045,0.14614512401702628,2.791673682101572,0.9625,BSSR,2020-04-01
1.9214693558624183,0.9163278234703022,2.839485699840721,0.99625,BLR,2020-05-01
2.416822098054679,1.6064607213795208,3.1480057072373695,0.999,GAM,2020-05-01
2.1325791470285203,0.8526068520259166,3.2998838602633938,0.9905,BSSR,2020-05-01
2.201175001520899,1.2764041323193553,3.0067224242344994,1,BLR,2020-06-01
2.575411618134774,1.7898521418738864,3.298903029581335,0.99925,GAM,2020-06-01
2.2774295447796997,0.9486784217900238,3.4084226507153965,0.99375,BSSR,2020-06-01
2.375106423311385,1.5786362618047947,3.124892383866291,1,BLR,2020-07-01
2.6268274152146907,1.785792777326553,3.4082490016854017,0.999,GAM,2020-07-01
2.236841859106687,0.9248217874022807,3.422733055458251,0.9945,BSSR,2020-07-01
2.397401955618329,1.5840965356546022,3.1207463403680546,1,BLR,2020-08-01
2.680717121775381,1.8582587761446208,3.463228944074364,0.99975,GAM,2020-08-01
2.4612177815209315,1.1688047594574156,3.6092354388077657,0.99675,BSSR,2020-08-01
2.444346494884333,1.6397098316537915,3.1846397911236206,1,BLR,2020-09-01
2.8248111427889993,1.906917154215639,3.6656849883399687,0.998,GAM,2020-09-01
2.9645292282343707,1.729974215101302,4.0884785321498764,0.99925,BSSR,2020-09-01
2.1000019407209387,1.3448786389932008,2.79056082164139,1,BLR,2020-10-01
